team_id,name,fpl_strength_home,fpl_strength_away,fan_ownership_score
1,Arsenal FC,1350,1350,139.00000000000003
2,Aston Villa FC,1145,1240,106.59999999999997
3,AFC Bournemouth,1170,1200,64.89999999999999
4,Brentford FC,1130,1180,114.1
5,Brighton & Hove Albion FC,1140,1165,37.1
6,Chelsea FC,1155,1235,78.4
7,Crystal Palace FC,1150,1155,79.00000000000003
8,Everton FC,1120,1145,47.5
9,Fulham FC,1155,1155,47.19999999999999
10,Ipswich Town FC,1065,1065,16.6
11,Leicester City FC,975,975,25.7
12,Liverpool FC,1350,1370,167.79999999999995
13,Manchester City FC,1220,1270,157.70000000000002
14,Manchester United FC,1095,1135,52.4
15,Newcastle United FC,1220,1255,126.4
16,Nottingham Forest FC,1220,1290,115.8
17,Southampton FC,975,975,18.0
18,Tottenham Hotspur FC,1100,1170,48.3
19,West Ham United FC,1090,1100,56.199999999999996
20,Wolverhampton Wanderers FC,1125,1145,45.2
