season,club_name,market_value_m
2020,Manchester City,1040.0
2020,Liverpool FC,969.65
2020,Chelsea FC,889.2
2020,Manchester United,770.05
2020,Tottenham Hotspur,703.5
2020,Arsenal FC,619.25
2020,Everton FC,511.2
2020,Leicester City,510.6
2020,Wolverhampton Wanderers,450.3
2020,Aston Villa,430.7
2020,West Ham United,336.4
2020,Brighton & Hove Albion,290.4
2020,Southampton FC,282.8
2020,Newcastle United,255.35
2020,Fulham FC,239.75
2020,Leeds United,238.1
2020,Crystal Palace,193.85
2020,Sheffield United,149.85
2020,West Bromwich Albion,141.15
2020,Burnley FC,132.3
2021,Manchester City,1000.0
2021,Liverpool FC,918.9
2021,Chelsea FC,914.5
2021,Manchester United,769.15
2021,Tottenham Hotspur,689.35
2021,Arsenal FC,613.05
2021,Leicester City,526.55
2021,Aston Villa,487.75
2021,Everton FC,479.05
2021,Wolverhampton Wanderers,376.95
2021,West Ham United,354.9
2021,Brighton & Hove Albion,318.0
2021,Newcastle United,313.9
2021,Leeds United,299.45
2021,Southampton FC,274.3
2021,Brentford FC,273.3
2021,Crystal Palace,271.05
2021,Norwich City,163.2
2021,Watford FC,156.2
2021,Burnley FC,137.85
2022,Manchester City,1150.0
2022,Arsenal FC,1000.0
2022,Chelsea FC,994.95
2022,Manchester United,847.75
2022,Liverpool FC,811.85
2022,Tottenham Hotspur,649.1
2022,Newcastle United,541.6
2022,Brighton & Hove Albion,529.8
2022,Aston Villa,509.55
2022,Wolverhampton Wanderers,497.65
2022,Leicester City,490.7
2022,West Ham United,465.6
2022,Southampton FC,419.95
2022,Everton FC,413.15
2022,Nottingham Forest,376.25
2022,Brentford FC,371.2
2022,Leeds United,345.15
2022,Crystal Palace,323.05
2022,Fulham FC,295.1
2022,AFC Bournemouth,287.2
2023,Manchester City,1460.0
2023,Arsenal FC,1200.0
2023,Chelsea FC,1010.0
2023,Liverpool FC,955.65
2023,Tottenham Hotspur,838.5
2023,Manchester United,808.35
2023,Aston Villa,709.65
2023,Newcastle United,652.25
2023,Brighton & Hove Albion,524.4
2023,Nottingham Forest,501.35
2023,West Ham United,487.5
2023,Crystal Palace,446.58
2023,Wolverhampton Wanderers,442.73
2023,Brentford FC,428.78
2023,AFC Bournemouth,401.75
2023,Everton FC,391.75
2023,Fulham FC,384.35
2023,Burnley FC,273.48
2023,Sheffield United,152.35
2023,Luton Town,140.9
2024,Manchester City,1360.0
2024,Chelsea FC,1190.0
2024,Arsenal FC,1160.0
2024,Liverpool FC,950.95
2024,Manchester United,825.0
2024,Tottenham Hotspur,777.3
2024,Aston Villa,680.55
2024,Newcastle United,677.53
2024,Brighton & Hove Albion,667.58
2024,Crystal Palace,526.85
2024,AFC Bournemouth,518.6
2024,Nottingham Forest,481.3
2024,Wolverhampton Wanderers,433.05
2024,Brentford FC,427.85
2024,West Ham United,400.7
2024,Everton FC,363.23
2024,Fulham FC,362.35
2024,Southampton FC,310.05
2024,Ipswich Town,270.1
2024,Leicester City,253.35
